CREATE Student
INT roll
CHAR name
CHAR nick
INT age
INT dept_id;

INSERT Student
1 Ann A 24 2
2 Tom T 23 1
3 Liz B 24 2
4 Liz Liz 6 1
5 Tim T 5 3
6 Sia S 28 2
7 Liz L 24 2;

CREATE Dept
INT id
CHAR name;

INSERT Dept
1 CSE
2 PHY
3 MAT;

CREATE Student2
INT roll
CHAR name
CHAR nick
INT age
INT dept_id;

INSERT Student2
6 Sia S 27 1
7 Ram R 28 3
3 Bob B 25 2
4 Liz Liz 6 1;

CREATE Student3
INT roll
CHAR name
CHAR nick
INT age
INT dept_id;

INSERT Student3
8 Sam S 23 2
9 Cal C 21 9;

INSERT Dept
4 ECO;

INSERT Dept
4 ECO;

CREATE Rep
INT Serial
CHAR Name;

INSERT Rep
1 A
2 B
3 C;

INSERT Student
t t t t t;

INSERT Student
t t t 3 3
2 t 3 3t 4
4 5 t 3 5;


CREATE product
INT pno
CHAR pname
INT weight;


INSERT product
1 Nut 13
2 Bold 20
3 Screw 13
4 Cog 5
5 Washer 13;


CREATE supplier
INT sno
INT pno
INT qty;


INSERT supplier
1 1 100
2 4 231
1 5 421
3 4 131
2 1 43
2 3 532
2 5 201;
CREATE pen
INT refill
CHAR name;

INSERT pen
t t;

INSERT pen 
3.2 Cellax;

CREATE tip;
